id,category,keyword,soundex,language_code,sort_order,is_active
123,amazon_product,โยเกิร์ตพร้อมดื่ม 180มล. สตรอเบอร์รี่,".*โยเกิร์ต.*สตรอเบอร์รี่,.*โยเกิร์ต.*สตอเบอรี่",th,103,1
124,amazon_product,โยเกิร์ตพร้อมดื่ม 180มล. สับปะรด,.*โยเกิร์ต.*สับปะรด,th,104,1
125,amazon_product,โยเกิร์ตพร้อมดื่ม 180มล. ส้ม,โยเกิร์ต.*ส้ม,th,105,1
126,amazon_product,โยเกิร์ตพร้อมดื่ม 180มล. มะนาว,.*โยเกิร์ต.*มะนาว,th,106,1
127,amazon_product,นมพาสเจอร์ไรส์ 180 มล. จืด,.*นม.*จืด,th,107,1
128,amazon_product,นมพาสเจอร์ไรส์ 180 มล.หวาน,.*นม.*หวาน,th,108,1
129,amazon_product,นมพาสเจอร์ไรส์ 180 มล. ช็อคโกแลต,".*นม.*ช็อก.*,.*นม.*ช็อค.*,นมช็อค,นมโช๊ค,หนุ่มช็อค,นักช้อป, คุณช้อป, หนุ่มช้อป",th,109,1
130,amazon_product,นมพาสเจอร์ไรส์ 180 มล. กาแฟ,.*นม.*กาแฟ,th,110,1
131,amazon_product,นมพาสเจอร์ไรส์ 180 มล. สตรอเบอรี่,".*นม.*สตรอเบอรี่,.*นม.*สตอเบอรี่",th,111,1
132,amazon_product,นมพาสเจอร์ไรส์ 180 มล. ฟรีแลคโตส,".*แลคโตส.*,แพ้นมวัว,.*นมวัวไม่ได้,.*ไม่.*นมวัว",th,112,1
140,amazon_product,โยเกิร์ต ออแกนิค น้ำผึ้ง,".*โยเกิร์ต.*น้ำผึ้ง,.*Organic น้ำผึ้ง,.แกนิคน้ำผึ้ง",th,113,1
136,amazon_product,โยเกิร์ตถ้วย 120 มล. ธรรมชาติ,".*โยเกิร์ต.*ถ้วย.*ธรรมชาติ,.*โยเกิร์ต.*ธรรมชาติ.*ถ้วย,.*โยเกิร์ต.*ธรรมชาติ,.*โยเกิร์ต.*ธรรมดา,.*โยเกิร์ต.*ปกติ,.*โยเกิร์ต.*original,.*โยเกิร์ต.*ออริจินอล,.*โยเกิร์ต.*เดิม",th,114,1
142,amazon_product,นมพาสเจอร์ไรส์ ออร์แกนิค 1000 cc,".*นม.* 1000,.*นม.*1 ลิตร,.*นม.*1",th,115,1
141,amazon_product,นมพาสเจอร์ไรส์ ออร์แกนิค 200 cc,.*นม.* 200,th,116,1
143,amazon_product,นมพาสเจอร์ไรส์ ออร์แกนิค 2000 cc,".*นม.* 2000,.*นม.*2 ลิตร,.*นม.*2",th,117,1
139,amazon_product,โยเกิร์ต ออแกนิค ธรรมชาติ,".*Organic,.*แกนิค",th,118,1
144,amazon_product,ไอศกรีม นมสด,.*ไอ.*นม,th,119,1
145,amazon_product,ไอศกรีม สตรอเบอรี่,.*ไอ.*สตอ,th,120,1
146,amazon_product,ไอศกรีม ช็อคโกแลต,".*ไอ.*ช็อก,.*ไอ.*ช็อค",th,121,1
147,amazon_product,ไอศกรีม ทุเรียน,.*ไอ.*ทุเรียน,th,122,1
148,amazon_product,ไอศกรีม มะม่วง,.*ไอ.*มะม่วง,th,123,1
149,amazon_product,น้ำดื่ม ไทย-เดนมาร์ค 350 มล.,".*น้ำ.*เล็ก,.*น้ำ.*350",th,124,1
150,amazon_product,น้ำดื่ม ไทย-เดนมาร์ค 650 มล.,".*น้ำ.*ใหญ่,.*น้ำ.*650",th,125,1
156,amazon_product,เอสเพรสโซ่ ร้อน,"เอสโซ่ร้อน,presto ร้อน,เพสโตร้อน,เฟสโตร้อน,เพรสโซ่ร้อน,เทสโต้ร้อน,S ร้อน, EXO ร้อน, Espresso ร้อน, เอสเปรสโซ่ร้อน, เอสเพรสโซ่ร้อน",th,126,1
157,amazon_product,เอสเพรสโซ่ เย็น,"เอสโซ่เย็น,presto เย็น,เพสโตเย็น,เฟสโตเย็น,เพรสโซ่เย็น,เทสโต้เย็น,S เย็น, EXO เย็น, Espresso เย็น, เอสเปรสโซ่เย็น, เอสเพรสโซ่เย็น",th,127,1
158,amazon_product,เอสเพรสโซ่ ปั่น,"เอสโซ่ปั่น,presto ปั่น,เพสโตปั่น,เฟสโตปั่น,เพรสโซ่ปั่น,เทสโต้ปั่น,S ปั่น, EXO ปั่น, Espresso ปั่น, เอสเปรสโซ่ปั่น, เอสเพรสโซ่ปั่น",th,128,1
